"ENTREZ","symbol_name","ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"101928465","SLCO4A1-AS2",NA,123,181.833333333333,2.35266853846564,0.0685901178226472,0.218184305521915,-4.54985753272307
"28592","TRBV7-6","ENSG00000211727",-28.3333333333333,26.5,-2.35222797252843,0.0686264081499303,0.218267575464183,-4.54986925411063
"283579","C14orf178","ENSG00000197734",30.3333333333333,47.5,2.35183768306095,0.0686585746087204,0.218337706759984,-4.5498796399689
"6992","PPP1R11","ENSG00000204619",875.333333333333,1099.33333333333,2.35167905351563,0.0686716530719224,0.218347125552637,-4.54988386176649
"51175","TUBE1","ENSG00000074935",67.6666666666667,228.166666666667,2.350900943246,0.0687358449961833,0.218519037052972,-4.54990457524557
"10288","LILRB2","ENSG00000131042",2777,3169.83333333333,2.3504991346957,0.0687690187192544,0.21858881189075,-4.54991527454194
"103352539","LINC01410","ENSG00000238113",591.333333333333,705.333333333333,2.35038979989425,0.0687780485358887,0.21858881189075,-4.54991818625272
"100652999","LOC100652999","ENSG00000257550",150,372.666666666667,2.35025915851447,0.0687888397315913,0.218590919895014,-4.54992166558428
"2322","FLT3","ENSG00000122025",214.666666666667,363.333333333333,2.35009858478729,0.0688021059206178,0.218600890929588,-4.54992594239646
"10498","CARM1","ENSG00000142453",358.666666666667,527,2.34983854782983,0.0688235954290311,0.218636982653043,-4.54993286907458
"54960","GEMIN8","ENSG00000046647",73.6666666666667,425.833333333333,2.34962894454827,0.0688409224199473,0.218659842323727,-4.54993845297161
"101929145","PPP3CB-AS1","ENSG00000221817",175.666666666667,410.166666666667,2.34914860397672,0.0688806480428484,0.218753829709947,-4.54995125153288
"55775","TDP1","ENSG00000042088",149.333333333333,712.666666666667,2.34868424293348,0.0689190758943802,0.218824671346216,-4.54996362715372
"6015","RING1","ENSG00000204227",321.666666666667,524.833333333333,2.34863403785535,0.0689232319794087,0.218824671346216,-4.54996496532888
"25924","MYRIP","ENSG00000170011",-50.3333333333333,78.8333333333333,-2.34838638505616,0.0689437372166249,0.218857579106694,-4.549971566787
"440829","SHISA8","ENSG00000234965",165,259.5,2.34817450839108,0.0689612855339636,0.218881092011697,-4.54997721522112
"240","ALOX5","ENSG00000012779",2065.66666666667,2348.16666666667,2.34795167338589,0.0689797467157219,0.218907494980948,-4.54998315641945
"54517","PUS7","ENSG00000091127",60,149,2.34764074062143,0.0690055155338229,0.2189570775899,-4.54999144753994
"2634","GBP2","ENSG00000162645",968.666666666667,2539.33333333333,2.3472846532296,0.0690350394841901,0.219003190556139,-4.55000094425568
"22930","RAB3GAP1","ENSG00000115839",286.666666666667,1208,2.3472207133649,0.0690403423316486,0.219003190556139,-4.55000264968095
"105377110","CFAP20DC-DT",NA,-276.666666666667,157.333333333333,-2.34675364697355,0.069079091928789,0.219043098016735,-4.55001510903134
"100652781","SNX29P1",NA,56,113.666666666667,2.34667945298716,0.0690852495268766,0.219043098016735,-4.55001708847142
"3093","UBE2K","ENSG00000078140",428,1394.66666666667,2.34653116883167,0.069097557901562,0.219043098016735,-4.55002104479474
"219","ALDH1B1","ENSG00000137124",69.3333333333333,112,2.34647093818879,0.069102558049007,0.219043098016735,-4.55002265187081
"107986126","LOC107986126",NA,19.3333333333333,26.6666666666667,2.34645757533945,0.0691036674417804,0.219043098016735,-4.55002300842516
"134145","ATPSCKMT","ENSG00000150756",-91,160.166666666667,-2.34617064157475,0.0691274935657932,0.219086445467036,-4.55003066509415
"6584","SLC22A5","ENSG00000197375",-65.3333333333333,313.333333333333,-2.34570843927716,0.0691658923157633,0.219175958574529,-4.55004300094219
"105370781","LOC105370781",NA,-21.3333333333333,21,-2.34555551356241,0.0691786021708017,0.219184053237289,-4.55004708302716
"83648","FAM167A","ENSG00000154319",106.333333333333,104.833333333333,2.34526078395665,0.069203104720049,0.21922950376821,-4.5500549511712
"79709","COLGALT1","ENSG00000130309",1005.66666666667,1616.5,2.34465348419521,0.0692536228652854,0.219357344041892,-4.55007116726982
"107985448","LOC107985448",NA,-24.6666666666667,26.6666666666667,-2.34449569478561,0.0692667551387773,0.219366746318449,-4.55007538133699
"1798","DPAGT1","ENSG00000172269",131.333333333333,349.666666666667,2.34437302635418,0.0692769662901802,0.219366896044742,-4.55007865765357
"6625","SNRNP70","ENSG00000104852",1432.66666666667,2949.33333333333,2.34415054236924,0.0692954904667756,0.21939336522582,-4.5500846004115
"23484","LEPROTL1","ENSG00000104660",649.333333333333,2438.33333333333,2.34391142267499,0.0693154057693345,0.219399343603206,-4.55009098823771
"22806","IKZF3","ENSG00000161405",3226.33333333333,9373.5,2.34385571949642,0.0693200459561452,0.219399343603206,-4.55009247639443
"100861516","RAI1-AS1","ENSG00000237328",-22,36.6666666666667,-2.3437545859855,0.0693284714471406,0.219399343603206,-4.55009517836268
"202309","GAPT","ENSG00000175857",1162.66666666667,1075.66666666667,2.34359635546523,0.0693416559641438,0.219399343603206,-4.55009940604785
"10245","TIMM17B","ENSG00000126768",195.666666666667,349.166666666667,2.34351776359894,0.069348205627627,0.219399343603206,-4.55010150602632
"112939","NACC1","ENSG00000160877",615.333333333333,803,2.34332930505886,0.0693639140738889,0.21941687783332,-4.55010654197263
"100505767","SPDYE18","ENSG00000205482",-132.666666666667,162.666666666667,-2.34281002286728,0.0694072175063085,0.219516311957856,-4.55012042048691
"5394","EXOSC10","ENSG00000171824",668.333333333334,1558.16666666667,2.34256748149905,0.0694274533625328,0.219516311957856,-4.55012690392421
"692199","SNORD84","ENSG00000265236",20,40,2.34250077904604,0.0694330196496222,0.219516311957856,-4.5501286870983
"112268253",NA,NA,-55,44.8333333333333,-2.34239043129597,0.0694422291841938,0.219516311957856,-4.55013163717971
"102723506","LOC102723506",NA,-39.3333333333333,52,-2.3422119180963,0.0694571305737808,0.219516311957856,-4.55013640995689
"9294","S1PR2","ENSG00000267534",46.3333333333333,96.1666666666667,2.34214798842832,0.0694624679510651,0.219516311957856,-4.55013811929789
"23505","TMEM131","ENSG00000075568",1183.33333333333,3255.33333333333,2.34209917492536,0.0694665436071056,0.219516311957856,-4.55013942450089
"2224","FDPS","ENSG00000160752",103.666666666667,349.5,2.34195304431083,0.0694787462600542,0.219522731742168,-4.55014333200778
"10106","CTDSP2","ENSG00000175215",1883,4329.83333333333,2.34159452410555,0.0695086944347336,0.219585209599657,-4.5501529199436
"105378553","AS-PTPRE",NA,-207,377.5,-2.34124212825375,0.0695381447467635,0.219593124704627,-4.55016234571366
